"INMATE STATISTICS","","",""
"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","4,529","4,460","34.52%"
"Central Mississippi Correctional Facility","3,293","3,207","24.82%"
"South Mississippi Correctional Institution","2,075","2,012","15.57%"
"County Jails - Approved*","1,953","1,343","10.39%"
"County Jails - Unapproved**","0","112","0.87%"
"Community Work Centers","1,816","1,787","13.83%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13,666","12,921","100.00%"
"Bolivar County Correctional Facility","294","293","9.65%"
"Carroll County Correctional Facility","280","277","9.13%"
"George County Correctional Facility","280","277","9.13%"
"Holmes County Correctional Facility","280","280","9.23%"
"Issaquena County Correctional Facility","274","273","9.00%"
"Jefferson County Correctional Facility","250","248","8.17%"
"Kemper County Correctional Facility","280","273","9.00%"
"Leake County Correctional Facility","280","279","9.19%"
"Marion County Correctional Facility","280","278","9.16%"
"Stone County Correctional Facility","280","280","9.23%"
"Winston County Correctional Facility","280","277","9.13%"
"TOTAL REGIONAL FACILITIES","3,058","3,035","100.00%"
"Delta Correctional Facility","972","963","19.93%"
"East MS Correctional Facility","1,000","858","17.76%"
"Marshall County Correctional Facility","1,000","991","20.51%"
"Tallahatchie County Correctional Facility","128","128","2.65%"
"Walnut Grove Correctional Facility","1,000","951","19.68%"
"Wilkinson County Correctional Facility","1,000","941","19.47%"
"TOTAL PRIVATE PRISONS","5,100","4,832","100.00%"
"Community Trusties","02
2","21","0.08%"
"Emergency Suspension","","0","0.00%"
"Pending File Review","0","46","0.18%"
"Court Order","0","313","1.26%"
"TOTAL CAPACITY & CUSTODY POPULATION","21,846","21,168","85.11%"
"Intensive Supervision Program","0","1,565","6.29%"
"Earned Release Supervision Program","00","1,691","6.80%"
"Medical Release","","9","0.04%"
"TOTAL COMMUNITY CORRECTIONS","00","3,265","13.13%"
"Other Custody","","298","1.20%"
"Off-Grounds Medical (Hospital)","0","9","0.04%"
"At Large (Escapees & Walk-Aways)","0","131","0.53%"
"TOTAL","21,846","24,871","100.00%"
