"ACTIVE OFFENDER POPULATION","",""
"BY TYPE","",""
"","NO. OF","% OF TOTAL"
"","OFFENDERS","OFFENDERS"
"INMATES","",""
"Custody Population","21,517","33.81%"
"Community Corrections (ERS, ISP, Medical Release)","3,076","4.83%"
"Other Custody","484",".76%"
"At Large (Escapees & Walk-Aways)","31",".05%"
"Off-Grounds Medical (Hospital)","6",".01%"
"INMATE TOTAL","25,114","39.46%"
"PAROLEES","7,609","11.96%"
"PROBATIONERS","30,914","48.58%"
"PAROLEE AND PROBATIONER TOTAL","38,523","60.54%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","63,637","100.00%"
