"ACTIVE OFFENDER POPULATION","",""
"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population","22,031","36.03%"
"Community Corrections (ERS, ISP, Medical Release)","3,244","5.31%"
"Other Custody","446",".73%"
"At Large (Escapees & Walk-Aways)","36",".06%"
"Off-Grounds Medical (Hospital)","14",".02%"
"INMATE TOTAL","25,771","42.15%"
"PAROLEES","6,802","11.12%"
"PROBATIONERS","28,571","46.73%"
"PAROLEE AND PROBATIONER TOTAL","35,373","57.85%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","61,144","100.00%"
