"ACTIVE OFFENDER POPULATION","",""
"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population","21,765","41.09%"
"Community Corrections (ERS, ISP, Medical Release)","3,119","5.89%"
"Other Custody","297","0.56%"
"At Large (Escapees & Walk-Aways)","106","0.20%"
"Off-Grounds Medical (Hospital)","7","0.01%"
"INMATE TOTAL","25,294","47.75%"
"PAROLEES","2,354","4.44%"
"PROBATIONERS","25,319","47.80%"
"PAROLEE AND PROBATIONER TOTAL","27,673","52.25%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","52,967","100.00%"
