"ACTIVE OFFENDER POPULATION","",""
"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population","22,938","43.91%"
"Community Corrections (ERS, ISP, Medical Release)","3,086","5.91%"
"Other Custody","312","0.60%"
"At Large (Escapees & Walk-Aways)","58","0.11%"
"Off-Grounds Medical (Hospital)","5","0.01%"
"INMATE TOTAL","26,399","50.53%"
"PAROLEES","2,935","5.62%"
"PROBATIONERS","22,910","43.85%"
"PAROLEE AND PROBATIONER TOTAL","25,845","49.47%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","52,244","100.00%"
