"","","Fact Sheet","","",""
"","","As of June 1 , 2020","","",""
"BY OFFENSE AND LOCATION","","","","",""
"","DRUG","NON-VIOLENT","SEX","VIOLENT",""
"LOCATION","OFFENSES","OFFENSES","OFFENSES","OFFENSES","TOTAL"
"MSP","239","155","424","1,188","2,006"
"CMCF","731","756","362","1,419","3,268"
"SMCI","364","348","467","1,274","2,453"
"Youthful Offender Facility","0","2","1","15","18"
"County Jails (approved)","382","170","13","159","724"
"County Jails (unapproved)","206","271","26","137","640"
"Private Prisons","268","257","591","2,643","3,759"
"Regional Correctional Facilities","603","445","846","2,095","3,989"
"Community Work Centers","238","83","0","84","405"
"Community Trusties","0","0","0","0","0"
"Pending File Review","43","46","3","23","115"
"Court Order","56","55","12","49","172"
"Transitional Housing","2","6","0","2","10"
"RRP","23","23","0","9","55"
"TVC","63","10","0","23","96"
"TOTAL CUSTODY POPULATION","3,218","2,627","2,745","9,120","17,710"
"% OF TOTAL OFFENSES","18.17%","14.83%","15.50%","51.50%","100.00%"
"Intensive Supervison Program","333","435","16","103","887"
"Earned Release Supervision","24","34","5","495","558"
"Medical Release","8","1","0","8","17"
"Other Custody","168","161","28","118","475"
"At Large","6","11","0","7","24"
"Conditional Release","0","0","0","3","3"
"FTR- Monitoring","2","3","1","0","6"
"Off-Grounds Medical (Hospital)","1","4","2","5","12"
"TOTAL","3,760","3,276","2,797","9,860","19,692"
"% OF TOTAL OFFENSES","19.09%","16.64%","14.20%","50.07%","100.01%"
