"ACTIVE OFFENDER POPULATION","",""
"BY TYPE","",""
"","NO. OF","% OF TOTAL"
"","OFFENDERS","OFFENDERS"
"INMATES","",""
"Custody Population","22,300","43.77%"
"Community Corrections (ERS, ISP, Medical Release)","2,906","5.70%"
"Other Custody","327","0.64%"
"At Large (Escapees & Walk-Aways)","70","0.14%"
"Off-Grounds Medical (Hospital)","11","0.02%"
"INMATE TOTAL","25,614","50.27%"
"PAROLEES","2,458","4.82%"
"PROBATIONERS","22,876","44.90%"
"PAROLEE AND PROBATIONER TOTAL","25,334","49.73%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","50,948","100.00%"
