"ACTIVE OFFENDER POPULATION","",""
"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population","22,571","44.27%"
"Community Corrections (ERS, ISP, Medical Release)","2,897","5.68%"
"Other Custody","309","0.61%"
"At Large (Escapees & Walk-Aways)","66","0.13%"
"Off-Grounds Medical (Hospital)","4","0.01%"
"INMATE TOTAL","25,847","50.69%"
"PAROLEES","2,602","5.10%"
"PROBATIONERS","22,539","44.20%"
"PAROLEE AND PROBATIONER TOTAL","25,141","49.31%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","50,988","100.00%"
