"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","",""
"","","Black","","White","","Hispanic","","Native American","","Asian","","Data Unavailable","","TOTAL"
"LOCATION","Male","","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female",""
"MSP","3,887","","2","1,383","0","18","0","3","0","3","0","1","0","5,297"
"CMCF","1,076","","754","611","420","4","6","1","1","3","3","0","0","2,879"
"SMCI","1,419","","0","594","0","16","0","0","0","2","0","0","0","2,031"
"County Jails (approved)","932","","60","473","34","5","1","2","1","1","0","0","0","1,509"
"County Jails (unapproved)","50","","12","42","8","0","0","0","0","0","0","0","0","112"
"Private Prisons","2,820","","0","751","0","8","0","2","0","2","0","0","0","3,583"
"Regional Correctional Facilities","1,557","","0","414","0","4","0","4","0","2","0","0","0","1,981"
"Community Work Centers","888","","71","270","46","5","0","2","1","0","1","0","0","1,284"
"Community Trusties","16","","0","8","0","0","0","0","0","0","0","0","0","24"
"","12,645","","899","4,546","508","60","7","14","3","13","4","1","0","18,700"
"Intensive Supervison Program","634","","122","444","124","3","1","3","2","2","0","0","0","1,335"
"Earned Release Supervision","642","","71","226","36","5","0","0","1","0","0","0","0","981"
"Medical Release","1","","0","0","0","0","0","0","0","0","0","0","0","1"
"Other Custody","90","","5","91","10","4","0","0","0","0","1","0","0","201"
"At Large","45","","4","21","4","1","0","0","0","1","0","0","0","76"
"University of MS Medical Center","3","","2","2","0","0","0","0","0","0","0","0","0","7"
"TOTAL","14,060","","1,103","5,330","682","73","8","17","6","16","5","1","0","21,301"
"% of Total Offenses","66.01%","","5.18%","25.02%","3.20%","0.34%","0.04%","0.08%","0.03%","0.08%","0.02%","0.00%","0.00%","100.00%"
