"As of November 1, 2019","",""
"ACTIVE OFFENDER POPULATION","",""
"BY TYPE","",""
"","NO. OF","% OF TOTAL"
"","OFFENDERS","OFFENDERS"
"INMATES","",""
"Custody Population (Inmate and RRP status)","19,091","34.63%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Failure to Report)","1,467","2.66%"
"Other Custody","498",".90%"
"At Large (Escapees & Walk-Aways)","24",".04%"
"Off-Grounds Medical (Hospital)","8",".01%"
"INMATE TOTAL","21,088","38.25%"
"PAROLEES","9,224","16.73%"
"TVC Parole","168","0.30%"
"PROBATIONERS","24,551","44.53%"
"TVC Probation","105","0.19%"
"PAROLEE AND PROBATIONER TOTAL","34,048","61.75%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","55,136","100.00%"
