"PAROLE STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"","","% OF","","% OF","",""
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","4,724","62.26%","428","35.31%","5,152","58.55%"
"White","2,805","36.97%","772","63.70%","3,577","40.65%"
"Hispanic","33",".43%","10",".83%","43",".49%"
"Native American","10",".13%","1",".08%","11",".13%"
"Asian","14",".18%","1",".08%","15",".17%"
"Data Unavailable","2",".03%","0",".00%","2",".02%"
"TOTAL","7,588","100.00%","1,212","100.00%","8,800","100.00%"
"","","BY OFFENSE","","","",""
"","","","","NO. OF","% of TOTAL",""
"","","","OFFENSE","OFFENDERS","OFFENDERS",""
"","","","Drug","4,187","47.58%",""
"","","","Property","3,662","41.61%",""
"","","","Violent","714","8.11%",""
"","","","Sex","118","1.34%",""
"","","","Aggravated Assault","119","1.35%",""
"","","","TOTAL","8,800","100.00%",""
