"INMATE STATISTICS","","",""
"BY LOCATION","","",""
"","","NO. OF","% OF TOTAL"
"","CAPACITY","OFFENDERS","OFFENDERS"
"Mississippi State Penitentiary","4,648","3,338","25.29%"
"Central Mississippi Correctional Facility","3,557","3,156","23.91%"
"South Mississippi Correctional Institution","3,282","3,219","24.39%"
"Youthful Offender Facility","42","26","0.20%"
"County Jails - Approved*","1,872","1,540","11.67%"
"County Jails - Unapproved**","0","397","3.01%"
"Community Work Centers","1,848","1,522","11.53%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15,249","13,198","100.00%"
"Regional Correctional Facilities","","",""
"Alcorn County Correctional Facility","300","294","6.76%"
"Bolivar County Correctional Facility","369","369","8.48%"
"Carroll County Correctional Facility","280","279","6.41%"
"Chickasaw County Correctional Facility","300","299","6.87%"
"George County Correctional Facility","280","278","6.39%"
"Holmes County Correctional Facility","280","280","6.44%"
"Issaquena County Correctional Facility","274","274","6.30%"
"Jefferson County Correctional Facility","280","277","6.37%"
"Kemper County Correctional Facility","355","339","7.79%"
"Leake County Correctional Facility","280","280","6.44%"
"Marion County Correctional Facility","280","280","6.44%"
"Stone County Correctional Facility","280","278","6.39%"
"Washington County Correctional Facility","300","245","5.63%"
"Winston County Correctional Facility","280","281","6.46%"
"Yazoo County Correctional Facility","300","298","6.85%"
"TOTAL REGIONAL FACILITIES","4,438","4,351","100.00%"
"Private Prisons","","",""
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,122","26.01%"
"Marshall County Correctional Facility","1,000","996","23.09%"
"Walnut Grove Correctional Facility","1,500","1,293","29.97%"
"Wilkinson County Correctional Facility","1,000","903","20.93%"
"TOTAL PRIVATE PRISONS","5,972","4,314","100.00%"
"Community Trusties","22","12",".05%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","67",".26%"
"Court Order","0","339","1.30%"
"TOTAL CAPACITY & CUSTODY POPULATION","25,681","22,281","85.63%"
"Intensive Supervision Program","0","1,566","6.02%"
"Earned Release Supervision Program","","1,624","6.24%"
"Medical Release","","27",".10%"
"TOTAL COMMUNITY CORRECTIONS","","3,217","12.36%"
"Other Custody","","478","1.84%"
"Off-Grounds Medical (Hospital)","0","11",".04%"
"At Large (Escapees & Walk-Aways)","0","34",".13%"
"TOTAL","25,681","26,021","00
00
100.00%"
