"ACTIVE OFFENDER POPULATION","",""
"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population","20,762","40.42%"
"Community Corrections (ERS, ISP, Medical Release)","3,408","6.63%"
"Other Custody","303","0.59%"
"At Large (Escapees & Walk-Aways)","135","0.26%"
"Off-Grounds Medical (Hospital)","6","0.01%"
"INMATE TOTAL","24,614","47.92%"
"PAROLEES","2,488","4.84%"
"PROBATIONERS","24,262","47.24%"
"PAROLEE AND PROBATIONER TOTAL","26,750","52.08%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","51,364","100.00%"
