"INMATE STATISTICS","","",""
"BY LOCATION","","",""
"","","NO. OF","% OF TOTAL"
"","CAPACITY","OFFENDERS","OFFENDERS"
"Mississippi State Penitentiary","4,435","3,788","28.78%"
"Central Mississippi Correctional Facility","3,449","3,268","24.83%"
"South Mississippi Correctional Institution","3,204","3,111","23.63%"
"County Jails - Approved*","1,458","1,016","7.72%"
"County Jails - Unapproved**","0","269","2.04%"
"Community Work Centers","1,848","1,711","13.00%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14,394","13,163","100.00%"
"Regional Correctional Facilities","","",""
"Bolivar County Correctional Facility","294","236","9.34%"
"Carroll County Correctional Facility","280","224","8.87%"
"George County Correctional Facility","280","222","8.79%"
"Holmes County Correctional Facility","280","226","8.95%"
"Issaquena County Correctional Facility","274","219","8.67%"
"Jefferson County Correctional Facility","280","222","8.79%"
"Kemper County Correctional Facility","355","281","11.12%"
"Leake County Correctional Facility","280","225","8.91%"
"Marion County Correctional Facility","280","225","8.91%"
"Stone County Correctional Facility","280","224","8.87%"
"Winston County Correctional Facility","280","222","8.79%"
"TOTAL REGIONAL FACILITIES","3,163","2,526","100.00%"
"Private Prisons","","",""
"Delta Correctional Facility","972","903","17.34%"
"East MS Correctional Facility","1,500","1,262","24.23%"
"Marshall County Correctional Facility","1,000","896","17.20%"
"Walnut Grove Correctional Facility","1,500","1,196","22.96%"
"Wilkinson County Correctional Facility","1,000","951","18.26%"
"TOTAL PRIVATE PRISONS","5,972","5,208","100.00%"
"Community Trusties","2","19","0.08%"
"Emergency Suspension","02","0","0.00%"
"Pending File Review","0","127","0.52%"
"Court Order","0","210","0.85%"
"TOTAL CAPACITY & CUSTODY POPULATION","23,551","21,253","86.23%"
"Intensive Supervision Program","0","1,516","6.15%"
"Earned Release Supervision Program","0","1,435","5.82%"
"Medical Release","0","40","0.16%"
"TOTAL COMMUNITY CORRECTIONS","00","2,991","12.14%"
"Other Custody","","351","1.42%"
"Off-Grounds Medical (Hospital)","00","8","0.03%"
"At Large (Escapees & Walk-Aways)","","43","0.17%"
"TOTAL","23,551","24,646","100.00%"
