"","","Fact Sheet","","",""
"","","As of November 2,2017","","",""
"INMATE STATISTICS (continued)","","","","",""
"Community Trusties","0","","37","",".18%"
"Emergency Suspension","","","0","",".00%"
"Pending File Review","","","108","",".52%"
"TVC","0","","22","",".11%"
"Transitional Housing","0","","37","","0.2%"
"Court Order","0","","227","","1.09%"
"RRP","0","","105","",".50%"
"TOTAL CAPACITY & CUSTODY POPULATION","23,881","","19,008","","91.27%"
"Intensive Supervision Program","0","","693","","3.33%"
"Conditional Release","0","","3","","0.01%"
"Earned Release Supervision Program","0","","611","","2.93%"
"Failure to Register-Monitoring","0","","6","","0.03%"
"Medical Release","0","","12","","0.06%"
"TOTAL COMMUNITY CORRECTIONS","0","","1,325","","6.36%"
"Other Custody","0","","456","","2.19%"
"Off-Grounds Medical (Hospital)","0","","6","","0.03%"
"At Large (Escapees & Walk-Aways)","0","","30","","0.14%"
"TOTAL","23,881","","20,825","","100.00%"
"BY RACE/SEX AND LOCATION","","","","",""
"% OF","","","% OF","","% OF"
"TOTAL MALE","","","TOTAL FEMALE","NO. OF","TOTAL"
"RACE
MALE
POPULATION","","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black
12,293
64.28%","","615","36.16%","12,908","61.98%"
"White
6,561
34.31%","","1,061","62.38%","7,622","36.60%"
"Hispanic
196
1.02%","","15",".88%","211","1.01%"
"Native American
26
.14%","","4",".24%","30",".14%"
"Asian
40
.21%","","4",".24%","44",".21%"
"Data Unavailable
8
.04%","","2",".12%","10",".05%"
"TOTAL
19,124
100.00%","","1,701","100.00%","20,825","00
100.00%"
