"TOTAL","19,331","","100.00%","1,684","","100.00%","","21,015","","100.00%","","",""
"","Black","","White","","","Hispanic","","Native American","","Asian","Data Unavailable","","TOTAL"
"LOCATION","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female",""
"MSP","2,265","0","954","0","30","0","3","0","10","0","2","0","3,264"
"CMCF","1,634","392","1,066","596","26","9","7","2","7","1","0","2","3,742"
"SMCI","1,952","0","1,057","0","35","0","1","0","8","0","0","0","3,053"
"County Jails (approved)","338","0","311","4","5","0","0","0","3","0","1","0","662"
"County Jails (unapproved)","163","4","98","10","3","0","0","0","1","0","1","0","280"
"Youthful Offender Facility","34","0","2","0","0","0","0","0","0","0","0","0","36"
"Private Prisons","2,275","0","889","0","16","0","7","0","4","0","0","0","3,191"
"Regional Correctional Facilities","2,261","68","1,252","103","46","2","9","0","13","0","0","0","3,754"
"Community Work Centers","286","22","201","127","3","3","0","2","2","1","0","0","647"
"Community Trusties","7","0","2","0","0","0","0","0","0","0","0","0","9"
"TVC","37","0","26","0","0","0","0","0","0","0","0","0","63"
"Transitional Housing","12","2","4","7","0","0","0","0","0","0","0","0","25"
"Pending File Review","72","2","34","12","0","0","1","0","1","0","0","0","122"
"RRP","21","4","32","23","0","1","0","0","0","0","0","0","81"
"Court Order","98","4","88","15","0","0","0","0","2","0","0","0","207"
"","11,455","498","6,016","897","164","15","28","4","51","2","4","2","19,136"
"Intensive Supervison Program","324","65","258","117","2","2","0","0","1","1","1","0","771"
"Earned Release Supervision","399","26","129","22","2","1","0","0","1","0","0","0","580"
"Medical Release","8","0","7","1","0","0","0","0","0","0","0","0","16"
"Other Custody","236","6","177","20","24","0","1","0","2","0","1","0","467"
"At Large","15","0","5","2","3","0","0","0","0","0","0","0","25"
"Conditional Release","1","0","1","1","0","0","0","0","0","0","0","0","3"
"Failure to Report-Monitoring","2","0","4","0","0","0","0","0","0","0","0","0","6"
"Off-Grounds Medical (Hospital)","8","1","1","1","0","0","0","0","0","0","0","0","11"
"TOTAL","12,448","596","6,598","1,061","195","18","29","4","55","3","6","2","21,015"
"% OF TOTAL OFFENDERS","59.23%","2.84%","31.40%","5.05%",".93%",".09%",".14%",".02%",".26%",".01%",".03%",".01%","100.00%"
