"INMATE STATISTICS","","",""
"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","3,455","3,162","14.86%"
"Central Mississippi Correctional Facility","2,923","2,235","10.51%"
"South Mississippi Correctional Institution","2,682","2,436","11.45%"
"Youthful Offender Facility","58","24","0.11%"
"County Jails - Approved*","2,004","999","4.70%"
"County Jails - Unapproved**","0","257","1.21%"
"Community Work Centers","1,870","1,025","4.82%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","12,992","10,138","47.65%"
"Alcorn County Correctional Facility","300","299","1.41%"
"Bolivar County Correctional Facility","369","344","1.62%"
"Carroll County Correctional Facility","280","271","1.27%"
"Chickasaw County Correctional Facility","300","300","1.41%"
"George County Correctional Facility","280","265","1.25%"
"Holmes County Correctional Facility","280","260","1.22%"
"Issaquena County Correctional Facility","274","253","1.19%"
"Jefferson County Correctional Facility","280","260","1.22%"
"Kemper County Correctional Facility","355","340","1.60%"
"Leake County Correctional Facility","280","261","1.23%"
"Marion County Correctional Facility","280","267","1.26%"
"Stone County Correctional Facility","280","277","1.30%"
"Washington County Correctional Facility","300","240","1.13%"
"Winston County Correctional Facility","280","257","1.21%"
"Yazoo County Correctional Facility","300","282","1.33%"
"TOTAL REGIONAL FACILITIES","4,438","4,176","19.63%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,131","5.32%"
"Marshall County Correctional Facility","1,000","993","4.67%"
"Walnut Grove Correctional Facility","1,500","923","4.34%"
"Wilkinson County Correctional Facility","1,000","901","4.24%"
"TOTAL PRIVATE PRISONS","5,972","3,948","18.56%"
"Community Trusties","0","8",".04%"
"Emergency Suspension","","0",".00%"
"Pending File Review","","68",".32%"
"Court Order","0","225","1.06%"
"TOTAL CAPACITY & CUSTODY POPULATION","23,402","18,563","87.26%"
"Intensive Supervision Program","0","1,225","5.76%"
"Earned Release Supervision Program","","899","4.23%"
"Medical Release","","17","0.08%"
"TOTAL COMMUNITY CORRECTIONS","","2,141","10.06%"
"Other Custody","","536","2.52%"
"Off-Grounds Medical (Hospital)","","7","0.03%"
"At Large (Escapees & Walk-Aways)","","27","0.13%"
"TOTAL","23,402","21,274","0 0
00
00
00
100.00%"
