"As of Janurary 3, 2020","",""
"ACTIVE OFFENDER POPULATION","",""
"BY TYPE","",""
"","NO. OF","% OF TOTAL"
"","OFFENDERS","OFFENDERS"
"INMATES","",""
"Custody Population (Inmate and RRP status)","18,971","34.37%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Failure to Report)","1,453","2.63%"
"Other Custody","485",".88%"
"At Large (Escapees & Walk-Aways)","24",".04%"
"Off-Grounds Medical (Hospital)","13",".02%"
"INMATE TOTAL","20,946","37.95%"
"PAROLEES","9,092","16.47%"
"TVC Parole","122","0.22%"
"PROBATIONERS","24,924","45.16%"
"TVC Probation","106","0.19%"
"PAROLEE AND PROBATIONER TOTAL","34,244","62.05%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","55,190","100.00%"
