"As of March 1, 2018","",""
"ACTIVE OFFENDER POPULATION","",""
"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population (Inmate and RRP status)","19,052","35.46%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Failure to Report)","1,329","2.47%"
"Other Custody","450",".84%"
"At Large (Escapees & Walk-Aways)","29",".05%"
"Off-Grounds Medical (Hospital)","16",".03%"
"INMATE TOTAL","20,876","38.86%"
"PAROLEES","8,726","16.24%"
"TVC Parole","126","0.23%"
"PROBATIONERS","23,920","44.52%"
"TVC Probation","77","0.14%"
"PAROLEE AND PROBATIONER TOTAL","32,849","61.14%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","53,725","100.00%"
