"ACTIVE OFFENDER POPULATION","",""
"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population","20,951","37.36%"
"Community Corrections (ERS, ISP, Medical Release)","3,059","5.45%"
"Other Custody","359",".64%"
"At Large (Escapees & Walk-Aways)","43",".08%"
"Off-Grounds Medical (Hospital)","8",".01%"
"INMATE TOTAL","24,420","43.54%"
"PAROLEES","6,553","11.68%"
"PROBATIONERS","25,108","44.77%"
"PAROLEE AND PROBATIONER TOTAL","31,661","56.46%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","56,081","100.00%"
