"ACTIVE OFFENDER POPULATION",""
"BY TYPE",""
"NO. OF","% OF TOTAL"
"OFFENDERS","OFFENDERS"
"INMATES",""
"Custody Population (Inmate and RID status)
18,833","34.62%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Transitional Housing, RRP, Failure to Report)
1,374","2.53%"
"Other Custody
511",".94%"
"At Large (Escapees & Walk-Aways)
28",".05%"
"Off-Grounds Medical (Hospital)
7",".01%"
"20,753
INMATE TOTAL","38.15%"
"PAROLEES
7,787","14.31%"
"TVC Parole
81","0.15%"
"PROBATIONERS
25,635","47.12%"
"TVC Probation
147","0.27%"
"33,650
PAROLEE AND PROBATIONER TOTAL","61.85%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS 
54,403","100.00%"
