"INMATES","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population","18,902","48.46%",""
"Community Corrections (ERS, ISP, Medical Release)","2,434","6.24%",""
"Other Custody","212","0.54%",""
"At Large (Escapees & Walk-Aways)","85","0.22%",""
"University of MS Medical Center","9","0.02%",""
"","21,642","55.49%","Inmate Total"
"PAROLEES","1,789","4.59%",""
"PROBATIONERS","15,572","39.93%",""
"","17,361","44.51%","Parolees & Probationers Total"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","39,003","100.00%",""
