"INMATES","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population","20,497","46.27%",""
"Community Corrections (ERS, ISP, Medical Release)","2,647","5.98%",""
"Other Custody","224","0.51%",""
"At Large (Escapees & Walk-Aways)","152","0.34%",""
"University of MS Medical Center","2","0.00%",""
"","23,522","53.10%","Inmate Total"
"PAROLEES","1,789","4.04%",""
"PROBATIONERS","18,984","42.86%",""
"","20,773","46.90%","Parolees & Probationers Total"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","44,295","100.00%",""
