"","INMATE STATISTICS (continued)","","","","","","","",""
"","","% OF","","","% OF","","","","% OF"
"","","TOTAL MALE","","","TOTAL FEMALE","","NO. OF","","TOTAL"
"RACE","MALE","POPULATION","","FEMALE","POPULATION","","OFFENDERS","","OFFENDERS"
"Black","12,777","67.01%","","731","42.90%","","13,508","","65.03%"
"White","6,027","31.61%","","953","55.93%","","6,980","","33.60%"
"Hispanic","181",".95%","","13",".76%","","194","",".93%"
"Native American","26",".14%","","",".29%","","31","",".15%"
"Asian","48",".25%","","",".12%","","50","",".24%"
"Data Unavailable","8",".04%","","0",".00%","","8","",".04%"
"TOTAL","19,067","100.00%","","1,704","100.00%","","20,771","","100.00%"
"BY RACE/SEX AND LOCATION","","","","","","","","",""
"","","Black","White","","Hispanic","Native American","Asian","Data Unavailable",""
"LOCATION","","Male
Female","Male","Female
Male","Female
Male","Female","Male
Female","Male","5 2
Female"
