"BY LOCATION","","","",""
"","","NO. OF","% OF TOTAL",""
"","CAPACITY","OFFENDERS","OFFENDERS",""
"Mississippi State Penitentiary","4,892","4,795","34.73%",""
"Central Mississippi Correctional Facility","3,233","3,087","22.36%",""
"South Mississippi Correctional Institution","2,224","2,178","15.78%",""
"County Jails - Approved*","2,176","1,838","13.31%",""
"County Jails - Unapproved**","0","223","1.62%",""
"Community Work Centers","1816","1,685","12.20%",""
"","14,341","13,806","100.00%","State, County Jails, & CWC Facilities"
"Regional Correctional Facilities","","","",""
"Bolivar County Correctional Facility","250","252","9.18%",""
"Carroll County Correctional Facility","250","250","9.10%",""
"GeorgeCounty Correctional Facility","250","246","8.96%",""
"Holmes County Correctional Facility","250","244","8.89%",""
"Issaquena County Correctional Facility","250","255","9.29%",""
"Jefferson County Correctional Facility","250","252","9.18%",""
"Kemper County Correctional Facility","250","251","9.14%",""
"Leake Correctional Facility","250","249","9.07%",""
"Marion County Correctional Facility","250","252","9.18%",""
"Stone County Correctional Facility","250","251","9.14%",""
"Winston County Correctional Facility","250","244","8.89%",""
"","2,750","2,746","100.00%","Regional Facilities"
"Private Prisons","","","",""
"Delta Correctional Facility (reopened 04-01-04)","960","959","21.03%",""
"East MS Correctional Facility","1,000","853","18.71%",""
"Marshall County Correctional Facility","1,000","997","21.86%",""
"Walnut Grove Correctional Facility","1,000","753","16.51%",""
"Wilkinson County Correctional Facility","1,000","998","21.89%",""
"","4,960","4,560","100.00%","Private Prisons"
"Community Trusties","30","18","0.08%",""
"Emergency Suspension","00","00","0.00%",""
"Court Order","","","0.00%",""
"TOTAL CAPACITY & CUSTODY POPULATION","22,081","21,130","88.14%",""
"Intensive Supervision Program","","1,302","5.43%",""
"Earned Release Supervision Program","","1,270","5.30%",""
"Medical Release","000 00","0","0.00%",""
"","","2,572","10.73%","Community Corrections"
"Other Custody","","226","0.94%",""
"University of MS Medical Center","0","0","0.00%",""
"At Large (Escapees & Walk-Aways)","0","45","0.19%",""
"TOTAL","22,081","23,973","100.00%",""
