"","","MISSISSIPPI DEPARTMENT OF CORRECTIONS","","",""
"","","MONTHLY FACT SHEET","","",""
"","","As of June 1, 2002","","",""
"COMMUNITY CORRECTIONS STATISTICS","","","","",""
"ACTIVE CASELOADS","","","","",""
"","NO. OF","% of TOTAL","","",""
"STATUS","OFFENDERS","OFFENDERS","","",""
"Probation","10,345","52.27%","","",""
"Compact Probation","1,036","5.23%","","",""
"Nonadjudicated","1,879","9.49%","","",""
"Post Release","2,206","11.15%","","",""
"","15,466","78.14%","Probation Total","",""
"Parole","1,422","7.18%","","",""
"Compact Parole","429","2.17%","","",""
"Suspension","8","0.04%","","",""
"","1,859","9.39%","Parole Total","",""
"Intensive Supervision Program - Court","1,178","5.95%","","",""
"Intensive Supervision Program - Prison","299","1.51%","","",""
"Earned Release Supervision","991","5.01%","","",""
"Medical Release","0","0.00%","","",""
"","2,468","12.47%","Community Inmate Total","",""
"TOTAL","19,793","100.00%","","",""
"PROBATION STATISTICS","","","","",""
"BY RACE AND SEX","","","","",""
"","% OF","","% OF","",""
"","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE
MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black
7,242","60.25%","1,901","55.15%","9,143","59.12%"
"White
4,651","38.70%","1,504","43.63%","6,155","39.80%"
"Hispanic
48","0.40%","15","0.44%","63","0.41%"
"Native American
25","0.21%","7","0.20%","32","0.21%"
"Asian
36","0.30%","20","0.58%","56","0.36%"
"Data Unavailable
17","0.14%","","0.00%","17","0.11%"
"TOTAL
12,019","100.00%","3,447","100.00%","15,466","100.00%"
"BY OFFENSE","","","","",""
"NO. OF","% of TOTAL","","","",""
"OFFENSE
OFFENDERS","OFFENDERS","","","",""
"Violent 
1,949","12.60%","","","",""
"Property 
8,855","57.25%","","","",""
"Drug 
4,662","30.14%","","","",""
"TOTAL
15,466","100.00%","","","",""
"PAROLE STATISTICS","","","","",""
"BY RACE AND SEX","","","","",""
"","% OF","","% OF","",""
"","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE
MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black
1,189","72.77%","128","56.89%","1,317","70.84%"
"White
431","26.38%","96","42.67%","527","28.35%"
"Hispanic
12","0.73%","","0.44%","13","0.70%"
"Native American
1","0.06%","1 0","0.00%","","0.05%"
"Asian
1","0.06%","","0.00%","11","0.05%"
"TOTAL
1,634","100.00%","225","100.00%","1,859","100.00%"
"BY OFFENSE","","","","",""
"NO. OF","% of TOTAL","","","",""
"OFFENSE
OFFENDERS","OFFENDERS","","","",""
"Violent 
644","34.64%","","","",""
"Property 
555","29.85%","","","",""
"Drug 
660","35.50%","","","",""
"TOTAL
1,859","100.00%","","","",""
