"INMATE STATISTICS","","",""
"BY LOCATION","","",""
"","","NO. OF","% OF TOTAL"
"","CAPACITY","OFFENDERS","OFFENDERS"
"Mississippi State Penitentiary","3,590","3,331","16.12%"
"Central Mississippi Correctional Facility","3,858","3,159","15.29%"
"South Mississippi Correctional Institution","3,082","3,022","14.63%"
"Youthful Offender Facility","58","30","0.15%"
"County Jails - Approved*","1,781","726","3.51%"
"County Jails - Unapproved**","0","297","1.44%"
"Community Work Centers","1,364","756","3.66%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13,733","11,321","54.80%"
"Regional Correctional Facilities","","",""
"Alcorn County Correctional Facility","300","245","1.19%"
"Bolivar County Correctional Facility","369","281","1.36%"
"Carroll County Correctional Facility","300","252","1.22%"
"Chickasaw County Correctional Facility","310","305","1.48%"
"George County Correctional Facility","280","276","1.34%"
"Holmes County Correctional Facility","280","263","1.27%"
"Issaquena County Correctional Facility","274","253","1.22%"
"Jefferson County Correctional Facility","280","279","1.35%"
"Kemper County Correctional Facility","355","348","1.68%"
"Leake County Correctional Facility","280","199","0.96%"
"Marion County Correctional Facility","280","276","1.34%"
"Stone County Correctional Facility","326","324","1.57%"
"Washington County Correctional Facility","300","226","1.09%"
"Winston County Correctional Facility","280","275","1.33%"
"Yazoo County Correctional Facility","300","296","1.43%"
"TOTAL REGIONAL FACILITIES","4,514","4,098","19.84%"
"Private Prisons","","",""
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,163","5.63%"
"Marshall County Correctional Facility","1,000","996","4.82%"
"Walnut Grove Correctional Facility","1,500","0","0.00%"
"Wilkinson County Correctional Facility","1,000","899","4.35%"
"TOTAL PRIVATE PRISONS","5,972","3,058","14.80%"
"Community Trusties","16","33",".16%"
"Emergency Suspension","0","0",".00%"
"TVC","0","3",".01%"
"Pending File Review","0","67",".32%"
"Court Order","0","192",".93%"
"TOTAL CAPACITY & CUSTODY POPULATION","24,219","18,772","90.87%"
"Intensive Supervision Program","0","745","3.61%"
"Earned Release Supervision Program","0","569","2.75%"
"Transitional Housing","0","1","0.00%"
"Conditional Release","0","2","0.01%"
"RRP","0","27","0.13%"
"Medical Release","0","13","0.06%"
"TOTAL COMMUNITY CORRECTIONS","","1,357","6.57%"
"Other Custody","","493","2.39%"
"Off-Grounds Medical (Hospital)","","8","0.04%"
"At Large (Escapees & Walk-Aways)","","28","0.14%"
"TOTAL","24,219","20,658","00
00
100.00%"
