"ACTIVE OFFENDER POPULATION","",""
"BY TYPE","",""
"","NO. OF","% OF TOTAL"
"","OFFENDERS","OFFENDERS"
"INMATES","",""
"Custody Population (Inmate and RID status)","18,412","28.52%"
"Community Corrections (ERS, ISP, Medical Release)","1,697","2.63%"
"Other Custody","545",".84%"
"At Large (Escapees & Walk-Aways)","27",".04%"
"Off-Grounds Medical (Hospital)","8",".01%"
"INMATE TOTAL","20,689","32.05%"
"PAROLEES","8,559","13.26%"
"TVC Parole","439","0.68%"
"PROBATIONERS","34,707","53.76%"
"TVC Probation","163","0.25%"
"PAROLEE AND PROBATIONER TOTAL","43,868","67.95%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","64,557","100.00%"
