"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","","","","",""
"","","Black","","","White","","","Hispanic","","","Native American","","","Asian","","","Data Unavailable","","TOTAL"
"LOCATION","Male","","Female","Male","","Female","Male","","Female","Male","","Female","Male","","Female","Male","Female","",""
"MSP","2,175","","0","1,021","","0","25","","0","6","","0","6","","0","0","0","","3,233"
"CMCF","906","","385","501","","413","12","","4","5","","2","2","","1","1","0","","2,232"
"SMCI","1,999","","0","1,013","","0","40","","0","4","","0","7","","0","0","0","","3,063"
"County Jails (approved)","766","","27","426","","46","10","","0","1","","0","0","","1","0","0","","1,277"
"County Jails (unapproved)","63","","6","33","","16","0","","0","0","","0","0","","0","0","0","","118"
"Youthful Offender Facility","26","","0","7","","0","0","","0","0","","0","0","","0","0","0","","33"
"Private Prisons","2,969","","0","1,032","","0","31","","0","7","","0","5","","0","2","0","","4,046"
"Regional Correctional Facilities","2,755","","132","1,234","","138","35","","2","3","","0","6","","0","0","0","","4,305"
"Community Work Centers","575","","52","338","","122","0","","1","1","","0","2","","0","1","0","","1,092"
"Community Trusties","3","","0","3","","0","0","","0","0","","0","0","","0","0","0","","6"
"Pending File Review","68","","8","71","","11","0","","0","0","","0","1","","0","0","0","","159"
"Court Order","127","","1","71","","13","0","","1","0","","0","2","","0","0","0","","215"
"","12,432","","611","5,750","","759","153","","8","27","","2","31","","2","4","0","","19,779"
"Intensive Supervison Program","607","","169","460","","247","4","","5","0","","2","0","","0","2","2","","1,498"
"Earned Release Supervision","864","","72","280","","62","4","","0","2","","0","2","","0","0","0","","1,286"
"Medical Release","11","","0","7","","2","0","","0","0","","0","0","","0","0","0","","20"
"TVC","3","","0","3","","2","0","","0","0","","0","0","","0","0","0","","8"
"Other Custody","224","","12","174","","20","49","","5","1","","1","3","","0","2","0","","491"
"At Large","16","","0","8","","2","3","","0","0","","0","0","","0","0","0","","29"
"Off-Grounds Medical (Hospital)","4","","0","4","","0","0","","0","0","","0","0","","0","0","0","","8"
"TOTAL","14,161","","864","6,686","","1,094","213","","18","30","","5","36","","2","8","2","","23,119"
"% OF TOTAL OFFENDERS","61.25%","","3.74%","28.92%","","4.73%",".92%","",".08%",".13%","",".02%",".16%","",".01%",".03%",".01%","","100.00%"
"BY OFFENSE AND LOCATION","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","AGGRAVATED","","","","","","","","","","",""
"","","","DRUG","","PROPERTY","","","ASSUALT","","","VIOLENT","","","SEX","","","","",""
"LOCATION","","","OFFENSES","","OFFENSES","","","OFFENSES","","","OFFENSES","","","OFFENSES","","","","TOTAL",""
"MSP","","","683","","648","","","181","","","499","","","1,223","","","","3,234",""
"CMCF","","","562","","614","","","113","","","686","","","258","","","","2,233",""
"SMCI","","","573","","717","","","166","","","1,062","","","546","","","","3,064",""
"County Jails (approved)","","","615","","453","","","32","","","120","","","57","","","","1,277",""
"Youthful Offender Facility","","","1 3","","5","","","5","","","19","","","3","","","","33",""
"County Jails (unapproved)","","","5","","57","","","5","","","16","","","6","","","","119",""
"Private Prisons","","","468","","764","","","268","","","1,906","","","641","","","","4,047",""
"Regional Correctional Facilities","","","786","","932","","","364","","","1,381","","","842","","","","4,305",""
"Community Work Centers","","","675","","414","","","0","","","3","","","0","","","","1,092",""
"Community Trusties","","","","","","","","0","","","0","","","0","","","","7",""
"Pending File Review","","","6 7
6","","1 7
2","","","4","","","8","","","0","","","","160",""
"Court Order","","","67","","85","","","12","","","38","","","14","","","","216",""
"TOTAL CUSTODY POPULATION","","","4,547","","4,762","","","1,150","","","5,738","","","3,590","","","","19,787",""
"% OF TOTAL OFFENSES","","","22.98%","","24.07%","","","5.81%","","","29.00%","","","18.14%","","","","100.00%",""
"Intensive Supervison Program","","","627","","794","","","14","","","54","","","4","","","","1,493",""
"TVC","","","1","","6","","","1","","","0","","","0","","","","8",""
"Earned Release Supervision","","","381","","335","","","184","","","379","","","4","","","","1,283",""
"Medical Release","","","11","","6","","","0","","","3","","","","","","","20",""
"Other Custody","","","181","","191","","","16","","","74","","","9","","","","491",""
"At Large","","","","","6","","","0","","","7","","","0","","","","29",""
"Off-Grounds Medical (Hospital)","","","","","","","","0","","","2","","","2","","","","8",""
"TOTAL","","","5,754","","6,114","","","1,365","","","6,257","","","3,629","","","","23,119",""
"% OF TOTAL OFFENSES","","","24.89%","","26.45%","","","5.90%","","","27.07%","","","15.70%","","","","100.00%","6 0
41
0 2"
