"ACTIVE OFFENDER POPULATION","",""
"BY TYPE","",""
"","NO. OF","% OF TOTAL"
"","OFFENDERS","OFFENDERS"
"INMATES","",""
"Custody Population","21,535","35.61%"
"Community Corrections (ERS, ISP, Medical Release)","3,235","5.35%"
"Other Custody","407",".67%"
"At Large (Escapees & Walk-Aways)","38",".06%"
"Off-Grounds Medical (Hospital)","10",".02%"
"INMATE TOTAL","25,225","41.71%"
"PAROLEES","6,912","11.43%"
"PROBATIONERS","28,337","46.86%"
"PAROLEE AND PROBATIONER TOTAL","35,249","58.29%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","60,474","100.00%"
