"ACTIVE OFFENDER POPULATION","",""
"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population","22,481","35.62%"
"Community Corrections (ERS, ISP, Medical Release)","3,235","5.13%"
"Other Custody","474",".75%"
"At Large (Escapees & Walk-Aways)","31",".05%"
"Off-Grounds Medical (Hospital)","7",".01%"
"INMATE TOTAL","26,228","41.55%"
"PAROLEES","6,723","10.65%"
"PROBATIONERS","30,170","47.80%"
"PAROLEE AND PROBATIONER TOTAL","36,893","58.45%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","63,121","100.00%"
