"BY TYPE","","",""
"","NO. OF","% OF TOTAL",""
"","OFFENDERS","OFFENDERS",""
"INMATES","","",""
"Custody Population","19,327","47.82%",""
"Community Corrections (ERS, ISP, Medical Release)","2,597","6.43%",""
"Other Custody","241","0.60%",""
"At Large (Escapees & Walk-Aways)","83","0.21%",""
"University of MS Medical Center","6","0.01%",""
"","22,254","55.07%","Inmate Total"
"PAROLEES","1,872","4.63%",""
"PROBATIONERS","16,286","40.30%",""
"","18,158","44.93%","Parolees & Probationers Total"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","40,412","100.00%",""
