"INMATE STATISTICS","","",""
"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","4,648","3,298","25.83%"
"Central Mississippi Correctional Facility","3,665","3,060","23.97%"
"South Mississippi Correctional Institution","3,282","3,167","24.81%"
"County Jails - Approved*","1,753","1,225","9.60%"
"County Jails - Unapproved**","0","456","3.57%"
"Community Work Centers","1,848","1,561","12.23%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15,196","12,767","100.00%"
"Alcorn County Correctional Facility","300","295","6.91%"
"Bolivar County Correctional Facility","294","292","6.84%"
"Carroll County Correctional Facility","280","279","6.53%"
"Chickasaw County Correctional Facility","300","297","6.95%"
"George County Correctional Facility","280","279","6.53%"
"Holmes County Correctional Facility","280","279","6.53%"
"Issaquena County Correctional Facility","274","274","6.42%"
"Jefferson County Correctional Facility","280","278","6.51%"
"Kemper County Correctional Facility","355","337","7.89%"
"Leake County Correctional Facility","280","279","6.53%"
"Marion County Correctional Facility","280","279","6.53%"
"Stone County Correctional Facility","280","280","6.56%"
"Washington County Correctional Facility","300","243","5.69%"
"Winston County Correctional Facility","280","281","6.58%"
"Yazoo County Correctional Facility","300","299","7.00%"
"TOTAL REGIONAL FACILITIES","4,363","4,271","100.00%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,360","31.69%"
"Marshall County Correctional Facility","1,000","981","22.86%"
"Walnut Grove Correctional Facility","1,500","1,044","24.33%"
"Wilkinson County Correctional Facility","1,000","906","21.11%"
"TOTAL PRIVATE PRISONS","5,972","4,291","100.00%"
"Community Trusties","22","12",".05%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","45",".18%"
"Court Order","0","443","1.74%"
"TOTAL CAPACITY & CUSTODY POPULATION","25,553","21,829","85.49%"
"Intensive Supervision Program","0","1,581","6.19%"
"Earned Release Supervision Program","0","1,617","6.33%"
"Medical Release","0","25",".10%"
"TOTAL COMMUNITY CORRECTIONS","","3,223","12.62%"
"Other Custody","0000","437","1.71%"
"Off-Grounds Medical (Hospital)","","8",".03%"
"At Large (Escapees & Walk-Aways)","","36",".14%"
"TOTAL","25,553","25,533","100.00%"
