"INMATE STATISTICS","","",""
"BY LOCATION","","",""
"","","NO. OF","% OF TOTAL"
"","CAPACITY","OFFENDERS","OFFENDERS"
"Mississippi State Penitentiary","4,648","3,391","25.51%"
"Central Mississippi Correctional Facility","3,557","3,329","25.04%"
"South Mississippi Correctional Institution","3,282","3,244","24.40%"
"Youthful Offender Facility","42","36","0.27%"
"County Jails - Approved*","1,872","1,465","11.02%"
"County Jails - Unapproved**","0","364","2.74%"
"Community Work Centers","1,848","1,466","11.03%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15,249","13,295","100.00%"
"Regional Correctional Facilities","","",""
"Alcorn County Correctional Facility","300","299","6.75%"
"Bolivar County Correctional Facility","369","369","8.34%"
"Carroll County Correctional Facility","280","280","6.32%"
"Chickasaw County Correctional Facility","300","300","6.78%"
"George County Correctional Facility","280","280","6.32%"
"Holmes County Correctional Facility","280","279","6.30%"
"Issaquena County Correctional Facility","274","274","6.19%"
"Jefferson County Correctional Facility","280","273","6.17%"
"Kemper County Correctional Facility","355","355","8.02%"
"Leake County Correctional Facility","280","280","6.32%"
"Marion County Correctional Facility","280","280","6.32%"
"Stone County Correctional Facility","280","280","6.32%"
"Washington County Correctional Facility","300","300","6.78%"
"Winston County Correctional Facility","280","278","6.28%"
"Yazoo County Correctional Facility","300","300","6.78%"
"TOTAL REGIONAL FACILITIES","4,438","4,427","100.00%"
"Private Prisons","","",""
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,190","27.00%"
"Marshall County Correctional Facility","1,000","997","22.62%"
"Walnut Grove Correctional Facility","1,500","1,321","29.98%"
"Wilkinson County Correctional Facility","1,000","899","20.40%"
"TOTAL PRIVATE PRISONS","5,972","4,407","100.00%"
"Community Trusties","22","0",".00%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","54",".21%"
"Court Order","0","335","1.28%"
"TOTAL CAPACITY & CUSTODY POPULATION","25,681","22,518","85.70%"
"Intensive Supervision Program","0","1,584","6.03%"
"Earned Release Supervision Program","","1,623","6.18%"
"Medical Release","","24",".09%"
"TOTAL COMMUNITY CORRECTIONS","","3,231","12.30%"
"Other Custody","","484","1.84%"
"Off-Grounds Medical (Hospital)","0000","9",".03%"
"At Large (Escapees & Walk-Aways)","","32",".12%"
"TOTAL","25,681","26,274","00
100.00%"
