"ACTIVE OFFENDER POPULATION","",""
"BY TYPE","",""
"","NO. OF","% OF TOTAL"
"","OFFENDERS","OFFENDERS"
"INMATES","",""
"Custody Population","22,335","43.75%"
"Community Corrections (ERS, ISP, Medical Release)","2,953","5.78%"
"Other Custody","323","0.63%"
"At Large (Escapees & Walk-Aways)","74","0.14%"
"Off-Grounds Medical (Hospital)","5","0.01%"
"INMATE TOTAL","25,690","50.32%"
"PAROLEES","2,493","4.88%"
"PROBATIONERS","22,867","44.79%"
"PAROLEE AND PROBATIONER TOTAL","25,360","49.68%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","51,050","100.00%"
