"ACTIVE OFFENDER POPULATION","",""
"BY TYPE","",""
"","NO. OF","% OF TOTAL"
"","OFFENDERS","OFFENDERS"
"INMATES","",""
"Custody Population","21,901","36.01%"
"Community Corrections (ERS, ISP, Medical Release)","3,190","5.25%"
"Other Custody","438",".72%"
"At Large (Escapees & Walk-Aways)","38",".06%"
"Off-Grounds Medical (Hospital)","5",".01%"
"INMATE TOTAL","25,572","42.05%"
"PAROLEES","6,949","11.43%"
"PROBATIONERS","28,293","46.52%"
"PAROLEE AND PROBATIONER TOTAL","35,242","57.95%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","60,814","100.00%"
