"As of September 3, 2019","",""
"ACTIVE OFFENDER POPULATION","",""
"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population (Inmate and RRP status)","19,087","34.69%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Failure to Report)","1,395","2.54%"
"Other Custody","488",".89%"
"At Large (Escapees & Walk-Aways)","24",".04%"
"Off-Grounds Medical (Hospital)","15",".03%"
"INMATE TOTAL","21,009","38.18%"
"PAROLEES","9,167","16.66%"
"TVC Parole","263","0.48%"
"PROBATIONERS","24,457","44.45%"
"TVC Probation","131","0.24%"
"PAROLEE AND PROBATIONER TOTAL","34,018","61.82%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","55,027","100.00%"
