"INMATE STATISTICS","","",""
"BY LOCATION","","",""
"","","NO. OF","% OF TOTAL"
"","CAPACITY","OFFENDERS","OFFENDERS"
"Mississippi State Penitentiary","4,435","3,889","30.09%"
"Central Mississippi Correctional Facility","3,665","3,150","24.37%"
"South Mississippi Correctional Institution","3,204","3,012","23.31%"
"County Jails - Approved*","1,503","1,027","7.95%"
"County Jails - Unapproved**","0","238","1.84%"
"Community Work Centers","1,848","1,608","12.44%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14,655","12,924","100.00%"
"Regional Correctional Facilities","","",""
"Bolivar County Correctional Facility","294","278","9.59%"
"Carroll County Correctional Facility","280","262","9.04%"
"George County Correctional Facility","280","265","9.14%"
"Holmes County Correctional Facility","280","250","8.62%"
"Issaquena County Correctional Facility","274","261","9.00%"
"Jefferson County Correctional Facility","280","259","8.93%"
"Kemper County Correctional Facility","280","265","9.14%"
"Leake County Correctional Facility","280","266","9.18%"
"Marion County Correctional Facility","280","266","9.18%"
"Stone County Correctional Facility","280","266","9.18%"
"Winston County Correctional Facility","280","261","9.00%"
"TOTAL REGIONAL FACILITIES","3,088","2,899","100.00%"
"Private Prisons","","",""
"Delta Correctional Facility","972","953","17.37%"
"East MS Correctional Facility","1,500","1,363","24.84%"
"Marshall County Correctional Facility","1,000","982","17.90%"
"Walnut Grove Correctional Facility","1,500","1,221","22.25%"
"Wilkinson County Correctional Facility","1,000","968","17.64%"
"TOTAL PRIVATE PRISONS","5,972","5,487","100.00%"
"Community Trusties","02
2","16","0.06%"
"Emergency Suspension","","0","0.00%"
"Pending File Review","0","175","0.70%"
"Court Order","0","240","0.96%"
"TOTAL CAPACITY & CUSTODY POPULATION","23,737","21,741","87.02%"
"Intensive Supervision Program","0","1,278","5.12%"
"Earned Release Supervision Program","00","1,524","6.10%"
"Medical Release","","37","0.15%"
"TOTAL COMMUNITY CORRECTIONS","00","2,839","11.36%"
"Other Custody","","349","1.40%"
"Off-Grounds Medical (Hospital)","0","8","0.03%"
"At Large (Escapees & Walk-Aways)","0","47","0.19%"
"TOTAL","23,737","24,984","100.00%"
