"**NOTE:  The number of offenders in unapproved jails includes inmates on waiver and inmates still under the 30 day deadline, awaiting transfer.","","","","","","","","","","","","","","","","",""
"INMATE STATISTICS (continued)","","","","","","","","","","","","","","","","",""
"","","% OF","","","","","","","% OF","","","","","","","","% OF"
"","","TOTAL MALE","","","","","","","TOTAL FEMALE","","","","NO. OF","","","","TOTAL"
"RACE
MALE","","POPULATION","","","","FEMALE","","","POPULATION","","","","OFFENDERS","","","","OFFENDERS"
"Black
12,702","","65.44%","","","","675","","","39.29%","","","","13,377","","","","63.31%"
"White
6,430","","33.13%","","","","1,016","","","59.14%","","","","7,446","","","","35.24%"
"Hispanic
193","",".99%","","","","21","","","1.22%","","","","214","","","","1.01%"
"Native American
27","",".14%","","","","3","","",".17%","","","","30","","","",".14%"
"Asian
52","",".27%","","","","1","","",".06%","","","","53","","","",".25%"
"Data Unavailable
6","",".03%","","","","2","","",".12%","","","","8","","","",".04%"
"TOTAL
19,410","","100.00%","","","","1,718","","","100.00%","","","","21,128","","","","100.00%"
"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","","",""
"","","Black","","White","","","Hispanic","","","Native American","","","Asian","","","Data Unavailable","TOTAL"
"LOCATION","Male","","Female","Male","Female","","Male","Female","","Male","Female","Male","","Female","Male","Female",""
"MSP","2,259","","0","1,094","0","","16","0","","3","0","6","","0","1","0","3,379"
"CMCF","1,581","","336","912","545","","23","10","","6","1","9","","1","0","0","3,424"
"SMCI","1,971","","0","978","0","","22","0","","1","0","6","","0","0","0","2,978"
"County Jails (approved)","432","","12","327","25","","6","0","","1","0","2","","0","1","0","806"
"County Jails (unapproved)","189","","4","141","11","","4","0","","0","0","3","","0","0","0","352"
"Youthful Offender Facility","33","","0","2","0","","1","0","","0","0","0","","0","0","0","36"
"Private Prisons","2,215","","0","816","0","","19","0","","9","0","1","","0","0","0","3,060"
"Regional Correctional Facilities","2,453","","111","1,205","107","","46","4","","4","1","11","","0","0","1","3,943"
"Community Work Centers","397","","39","238","118","","5","2","","2","0","3","","0","1","0","805"
"Community Trusties","26","","0","11","0","","0","0","","0","0","1","","0","0","0","38"
"TVC","0","","7","0","13","","0","0","","0","0","0","","0","0","0","20"
"Pending File Review","61","","5","36","10","","1","0","","0","0","1","","0","0","0","114"
"Court Order","131","","5","77","9","","0","0","","0","0","0","","0","0","0","222"
"","11,748","","519","5,837","838","","143","16","","26","2","43","","1","3","1","19,177"
"Intensive Supervison Program","276","","95","235","108","","2","2","","1","0","4","","0","0","1","724"
"Earned Release Supervision","411","","48","132","41","","4","0","","0","0","1","","0","0","0","637"
"Medical Release","6","","0","4","2","","0","0","","0","0","0","","0","0","0","12"
"Other Custody","236","","12","203","23","","41","3","","0","1","4","","0","3","0","526"
"Transitional Housing","1","","0","1","0","","0","0","","0","0","0","","0","0","0","2"
"At Large","16","","0","7","2","","3","0","","0","0","0","","0","0","0","28"
"Conditional Release","0","","0","1","1","","0","0","","0","0","0","","0","0","0","2"
"RRP","8","","1","7","0","","0","0","","0","0","0","","0","0","0","16"
"Off-Grounds Medical (Hospital)","0","","0","3","1","","0","0","","0","0","0","","0","0","0","4"
"TOTAL","12,702","","675","6,430","1,016","","193","21","","27","3","52","","1","6","2","21,128"
"% OF TOTAL OFFENDERS","60.12%","","3.19%","30.43%","4.81%","",".91%",".10%","",".13%",".01%",".25%","",".00%",".03%",".01%","100.00%"
