"","","As of Janurary 3, 2020","","",""
"BY OFFENSE AND LOCATION","","","","",""
"","DRUG","NON-VIOLENT","SEX","VIOLENT",""
"LOCATION","OFFENSES","OFFENSES","OFFENSES","OFFENSES","TOTAL"
"MSP","398","327","549","1,980","3,254"
"CMCF","1006","1,021","363","1,415","3,805"
"SMCI","425","396","491","1,304","2,616"
"Youthful Offender Facility","0","6","1","17","24"
"County Jails (approved)","384","170","5","158","717"
"County Jails (unapproved)","76","93","5","43","217"
"Private Prisons","250","240","530","2,120","3,140"
"Regional Correctional Facilities","693","575","845","2,184","4,297"
"Community Work Centers","343","116","0","95","554"
"Community Trusties","5","1","0","0","6"
"Pending File Review","29","35","3","19","86"
"Court Order","68","54","11","49","182"
"Transitional Housing","5","1","0","2","8"
"RRP","44","32","0","10","86"
"TVC","42","9","0","14","65"
"TOTAL CUSTODY POPULATION","3,768","3,076","2,803","9,410","19,057"
"% OF TOTAL OFFENSES","19.77%","16.14%","14.71%","49.38%","100.00%"
"Intensive Supervison Program","355","424","13","102","894"
"Earned Release Supervision","38","31","10","455","534"
"Medical Release","8","1","0","7","16"
"Other Custody","164","173","29","119","485"
"At Large","6","11","0","7","24"
"Conditional Release","0","0","0","3","3"
"FTR- Monitoring","2","3","1","0","6"
"Off-Grounds Medical (Hospital)","3","4","0","6","13"
"TOTAL","4,344","3,723","2,856","10,109","21,032"
"% OF TOTAL OFFENSES","20.66%","17.70%","13.58%","48.07%","100.00%"
