"INMATES","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population","19,278","49.21%",""
"Community Corrections (ERS, ISP, Medical Release)","2,483","6.34%",""
"Other Custody","230","0.59%",""
"At Large (Escapees & Walk-Aways)","89","0.23%",""
"University of MS Medical Center","9","0.02%",""
"","22,089","56.39%","Inmate Total"
"PAROLEES","1,861","4.75%",""
"PROBATIONERS","15,224","38.86%",""
"","17,085","43.61%","Parolees & Probationers Total"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","39,174","100.00%",""
