"ACTIVE OFFENDER POPULATION","",""
"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population (Inmate and RID status)","18,522","29.04%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release)","1,704","2.67%"
"Other Custody","518",".81%"
"At Large (Escapees & Walk-Aways)","27",".04%"
"Off-Grounds Medical (Hospital)","2",".00%"
"INMATE TOTAL","20,773","32.57%"
"PAROLEES","8,459","13.26%"
"TVC Parole","375","0.59%"
"PROBATIONERS","33,998","53.31%"
"TVC Probation","170","0.27%"
"PAROLEE AND PROBATIONER TOTAL","43,002","67.43%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","63,775","100.00%"
