"ACTIVE OFFENDER POPULATION","",""
"BY TYPE","",""
"","NO. OF","% OF TOTAL"
"","OFFENDERS","OFFENDERS"
"INMATES","",""
"Custody Population","20,701","39.65%"
"Community Corrections (ERS, ISP, Medical Release)","3,441","6.59%"
"Other Custody","307","0.59%"
"At Large (Escapees & Walk-Aways)","121","0.23%"
"Off-Grounds Medical (Hospital)","5","0.01%"
"INMATE TOTAL","24,575","47.08%"
"PAROLEES","2,497","4.78%"
"PROBATIONERS","25,131","48.14%"
"PAROLEE AND PROBATIONER TOTAL","27,628","52.92%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","52,203","100.00%"
