"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","4,760","4,606","34.44%"
"Central Mississippi Correctional Facility","3,233","3,034","22.69%"
"South Mississippi Correctional Institution","2,214","2,144","16.03%"
"County Jails - Approved*","2,295","1,694","12.67%"
"County Jails - Unapproved**","0","174","1.30%"
"Community Work Centers","1816","1,722","12.88%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14,318","13,374","100.00%"
"Bolivar County Correctional Facility","250","246","9.01%"
"Carroll County Correctional Facility","250","250","9.16%"
"George County Correctional Facility","250","249","9.12%"
"Holmes County Correctional Facility","250","248","9.08%"
"Issaquena County Correctional Facility","250","244","8.94%"
"Jefferson County Correctional Facility","250","249","9.12%"
"Kemper County Correctional Facility","250","249","9.12%"
"Leake Correctional Facility","250","249","9.12%"
"Marion County Correctional Facility","250","248","9.08%"
"Stone County Correctional Facility","250","248","9.08%"
"Winston County Correctional Facility","250","250","9.16%"
"TOTAL REGIONAL FACILITIES","2,750","2,730","100.00%"
"Delta Correctional Facility (reopened 04-01-04)","960","953","20.09%"
"East MS Correctional Facility","1,000","870","18.34%"
"Marshall County Correctional Facility","1,000","992","20.91%"
"Tallahatchie County Correctional Facility","128","127","2.68%"
"Walnut Grove Correctional Facility","1,000","824","17.37%"
"Wilkinson County Correctional Facility","1,000","978","20.62%"
"TOTAL PRIVATE PRISONS","5,088","4,744","100.00%"
"Community Trusties","24","18","0.07%"
"Emergency Suspension","0","0","0.00%"
"Pending File Review","0","268","1.09%"
"Court Order","0","0","0.00%"
"TOTAL CAPACITY & CUSTODY POPULATION","22,180","21,134","85.73%"
"Intensive Supervision Program","0","1,406","5.70%"
"Earned Release Supervision Program","","1,748","7.09%"
"Medical Release","00","4","0.02%"
"TOTAL COMMUNITY CORRECTIONS","00","3,158","12.81%"
"Other Custody","","249","1.01%"
"Off-Grounds Medical (Hospital)","0","14","0.06%"
"At Large (Escapees & Walk-Aways)","0","96","0.39%"
"TOTAL","22,180","24,651","100.00%"
