"ACTIVE OFFENDER POPULATION",""
"BY TYPE",""
"NO. OF","% OF TOTAL"
"OFFENDERS","OFFENDERS"
"INMATES",""
"Custody Population (Inmate and RID status)
18,778","35.03%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Transitional Housing, RRP, Failure to Report)
1,467","2.74%"
"Other Custody
484",".90%"
"At Large (Escapees & Walk-Aways)
28",".05%"
"Off-Grounds Medical (Hospital)
14",".03%"
"20,771
INMATE TOTAL","38.75%"
"PAROLEES
8,100","15.11%"
"TVC Parole
113","0.21%"
"PROBATIONERS
24,454","45.62%"
"TVC Probation
170","0.32%"
"32,837
PAROLEE AND PROBATIONER TOTAL","61.25%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS 
53,608","100.00%"
