"INMATE STATISTICS","","",""
"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","4,648","3,344","26.97%"
"Central Mississippi Correctional Facility","3,557","2,910","23.47%"
"South Mississippi Correctional Institution","3,282","3,235","26.09%"
"Youthful Offender Facility","42","36","0.29%"
"County Jails - Approved*","1,832","1,425","11.49%"
"County Jails - Unapproved**","0","288","2.32%"
"Community Work Centers","1,848","1,163","9.38%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15,209","12,401","100.00%"
"Alcorn County Correctional Facility","300","298","6.73%"
"Bolivar County Correctional Facility","369","369","8.34%"
"Carroll County Correctional Facility","280","280","6.33%"
"Chickasaw County Correctional Facility","300","296","6.69%"
"George County Correctional Facility","280","279","6.30%"
"Holmes County Correctional Facility","280","278","6.28%"
"Issaquena County Correctional Facility","274","274","6.19%"
"Jefferson County Correctional Facility","280","280","6.33%"
"Kemper County Correctional Facility","355","356","8.04%"
"Leake County Correctional Facility","280","281","6.35%"
"Marion County Correctional Facility","280","281","6.35%"
"Stone County Correctional Facility","280","280","6.33%"
"Washington County Correctional Facility","300","295","6.67%"
"Winston County Correctional Facility","280","280","6.33%"
"Yazoo County Correctional Facility","300","299","6.76%"
"TOTAL REGIONAL FACILITIES","4,438","4,426","100.00%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,200","27.52%"
"Marshall County Correctional Facility","1,000","997","22.87%"
"Walnut Grove Correctional Facility","1,500","1,302","29.86%"
"Wilkinson County Correctional Facility","1,000","861","19.75%"
"TOTAL PRIVATE PRISONS","5,972","4,360","100.00%"
"Community Trusties","22","12",".05%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","63",".25%"
"Court Order","0","243","0.97%"
"TOTAL CAPACITY & CUSTODY POPULATION","25,641","21,505","85.72%"
"Intensive Supervision Program","0","1,489","5.94%"
"Earned Release Supervision Program","","1,544","6.15%"
"Medical Release","","22",".09%"
"TOTAL COMMUNITY CORRECTIONS","","3,055","12.18%"
"Other Custody","","488","1.95%"
"Off-Grounds Medical (Hospital)","0000","10",".04%"
"At Large (Escapees & Walk-Aways)","","30",".12%"
"TOTAL","25,641","25,088","00
100.00%"
