"","","As of December 2, 2019","","",""
"BY OFFENSE AND LOCATION","","","","",""
"","DRUG","NON-VIOLENT","SEX","VIOLENT",""
"LOCATION","OFFENSES","OFFENSES","OFFENSES","OFFENSES","TOTAL"
"MSP","395","322","552","1,964","3,233"
"CMCF","935","937","348","1,383","3,603"
"SMCI","452","397","483","1,303","2,635"
"Youthful Offender Facility","0","5","2","17","24"
"County Jails (approved)","385","186","5","162","738"
"County Jails (unapproved)","107","126","22","83","338"
"Private Prisons","253","243","537","2,143","3,176"
"Regional Correctional Facilities","699","588","848","2,160","4,295"
"Community Work Centers","330","114","0","91","535"
"Community Trusties","6","2","0","0","8"
"Pending File Review","42","51","2","29","124"
"Court Order","81","60","10","52","203"
"Transitional Housing","5","2","0","2","9"
"RRP","40","35","0","10","85"
"TVC","47","8","0","13","68"
"TOTAL CUSTODY POPULATION","3,777","3,076","2,809","9,412","19,074"
"% OF TOTAL OFFENSES","19.80%","16.13%","14.73%","49.34%","100.00%"
"Intensive Supervison Program","347","414","12","103","876"
"Earned Release Supervision","41","34","10","483","568"
"Medical Release","8","1","0","7","16"
"Other Custody","160","178","28","120","486"
"At Large","6","11","0","7","24"
"Conditional Release","0","0","0","3","3"
"FTR- Monitoring","2","3","1","0","6"
"Off-Grounds Medical (Hospital)","1","2","1","6","10"
"TOTAL","4,342","3,719","2,861","10,141","21,063"
"% OF TOTAL OFFENSES","20.62%","17.66%","13.58%","48.15%","100.00%"
