"","Fact Sheet","",""
"","","As of February 3, 2020",""
"INMATE STATISTICS (continued)","","",""
"Community Trusties","0","5",".02%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","101",".49%"
"TVC","0","71",".35%"
"Transitional Housing","0","8",".04%"
"Court Order","0","235","1.15%"
"RRP","0","69",".34%"
"TOTAL CAPACITY & CUSTODY POPULATION","24,225","18,500","90.38%"
"Intensive Supervision Program","0","901","4.40%"
"Conditional Release","0","3","0.01%"
"Earned Release Supervision Program","0","534","2.61%"
"Failure to Register-Monitoring","0","6","0.03%"
"Medical Release","0","17","0.08%"
"TOTAL COMMUNITY CORRECTIONS","0","1,461","7.14%"
"Other Custody","0","469","2.29%"
"Off-Grounds Medical (Hospital)","0","16","0.08%"
"At Large (Escapees & Walk-Aways)","0","24","0.12%"
"TOTAL","24,225","20,470","100.00%"
