"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","","","","",""
"","","Black","","","White","","","Hispanic","","","Native American","","","Asian","","","Data Unavailable","","TOTAL"
"LOCATION","Male","","Female","Male","","Female","Male","","Female","Male","","Female","Male","","Female","Male","Female","",""
"MSP","2,299","","0","1,067","","0","18","","0","3","","0","6","","0","0","0","","3,393"
"CMCF","1,284","","345","753","","499","20","","10","7","","3","3","","1","0","1","","2,926"
"SMCI","1,938","","0","1,024","","0","25","","0","1","","0","8","","0","0","0","","2,996"
"County Jails (approved)","432","","7","330","","29","6","","0","2","","0","1","","0","1","0","","808"
"County Jails (unapproved)","226","","11","135","","24","4","","2","0","","0","1","","0","0","0","","403"
"Youthful Offender Facility","30","","0","1","","0","1","","0","0","","0","0","","0","0","0","","32"
"Private Prisons","2,815","","0","1,042","","0","34","","0","10","","0","5","","0","1","0","","3,907"
"Regional Correctional Facilities","2,140","","108","1,001","","115","27","","3","3","","0","9","","0","0","0","","3,406"
"Community Work Centers","515","","42","267","","126","1","","1","2","","1","3","","0","1","0","","959"
"Community Trusties","33","","0","13","","0","0","","0","0","","0","1","","0","0","0","","47"
"Pending File Review","34","","7","33","","4","3","","0","0","","0","1","","0","0","0","","82"
"Conditional Release","0","","0","1","","1","0","","0","0","","0","0","","0","0","0","","2"
"County Jail","0","","0","1","","0","0","","0","0","","0","0","","0","0","0","","1"
"Court Order","141","","6","95","","23","0","","0","0","","0","0","","0","0","0","","265"
"","11,887","","526","5,763","","821","139","","16","28","","4","38","","1","3","1","","19,227"
"Intensive Supervison Program","290","","97","221","","105","5","","2","1","","1","4","","0","0","0","","726"
"Earned Release Supervision","494","","59","163","","36","2","","0","0","","0","1","","0","0","0","","755"
"Medical Release","8","","0","5","","2","0","","0","0","","0","0","","0","0","0","","15"
"Other Custody","228","","13","211","","24","42","","4","1","","1","3","","0","3","0","","530"
"Transitional Housing","3","","0","0","","0","0","","0","0","","0","0","","0","0","0","","3"
"At Large","15","","0","6","","2","3","","0","0","","0","0","","0","0","0","","26"
"TVC","0","","1","0","","0","0","","0","0","","0","0","","0","0","0","","1"
"Off-Grounds Medical (Hospital)","6","","0","3","","0","0","","0","0","","0","0","","0","0","0","","9"
"TOTAL","12,931","","696","6,372","","990","191","","22","30","","6","46","","1","6","1","","21,292"
"% OF TOTAL OFFENDERS","60.73%","","3.27%","29.93%","","4.65%",".90%","",".10%",".14%","",".03%",".22%","",".00%",".03%",".00%","","100.00%"
"BY OFFENSE AND LOCATION","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","AGGRAVATED","","","","","","","","","","",""
"","","","DRUG","","PROPERTY","","","ASSUALT","","","VIOLENT","","","SEX","","","","",""
"LOCATION","","","OFFENSES","","OFFENSES","","","OFFENSES","","","OFFENSES","","","OFFENSES","","","","TOTAL",""
"MSP","","","666","","573","","","185","","","1,437","","","532","","","","3,393",""
"CMCF","","","724","","832","","","147","","","927","","","296","","","","2,926",""
"SMCI","","","518","","615","","","178","","","1,132","","","553","","","","2,996",""
"County Jails (approved)","","","451","","251","","","14","","","82","","","10","","","","808",""
"Youthful Offender Facility","","","0","","1","","","6","","","20","","","5","","","","32",""
"County Jails (unapproved)","","","132","","179","","","14","","","59","","","19","","","","403",""
"Private Prisons","","","483","","536","","","267","","","1,926","","","695","","","","3,907",""
"Regional Correctional Facilities","","","575","","610","","","279","","","1,259","","","683","","","","3,406",""
"Community Work Centers","","","626","","271","","","","","","62","","","0","","","","959",""
"Community Trusties","","","31","","12","","","","","","4","","","0","","","","47",""
"Pending File Review","","","32","","36","","","5","","","7","","","2","","","","82",""
"County Jail","","","","","1","","","0","","","0","","","0","","","","1",""
"Conditional Release","","","0 0 8","","0","","","0","","","2","","","0","","","","2",""
"Court Order","","","5","","99","","","13","","","58","","","10","","","","265",""
"TOTAL CUSTODY POPULATION","","","4,323","","4,016","","","1,108","","","6,975","","","2,805","","","","19,227",""
"% OF TOTAL OFFENSES","","","22.48%","","20.89%","","","5.76%","","","36.28%","","","14.59%","","","","100.00%",""
"Intensive Supervison Program","","","331","","334","","","9","","","46","","","6","","","","726",""
"Earned Release Supervision","","","239","","54","","","131","","","327","","","4","","","","755",""
"Medical Release","","","7","","4","","","0","","","4","","","0 2","","","","15",""
"Other Custody","","","175","","223","","","17","","","89","","","6","","","","530",""
"At Large","","","","","14","","","0","","","6","","","0","","","","26",""
"Transitional Housing","","","","","3","","","0","","","0","","","0","","","","3",""
"TVC","","","","","0","","","0","","","1","","","0","","","","1",""
"Off-Grounds Medical (Hospital)","","","","","2","","","1","","","3","","","2","","","","9",""
"TOTAL","","","5,082","","4,650","","","1,266","","","7,451","","","2,843","","","","21,292",""
"% OF TOTAL OFFENSES","","","23.87%","","21.84%","","","5.95%","","","35.00%","","","13.35%","","","","100.00%","6 0 0 1
0 0"
