"ACTIVE OFFENDER POPULATION","",""
"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population","22,823","44.51%"
"Community Corrections (ERS, ISP, Medical Release)","2,999","5.85%"
"Other Custody","316","0.62%"
"At Large (Escapees & Walk-Aways)","60","0.12%"
"Off-Grounds Medical (Hospital)","7","0.01%"
"INMATE TOTAL","26,205","51.11%"
"PAROLEES","2,705","5.28%"
"PROBATIONERS","22,363","43.62%"
"PAROLEE AND PROBATIONER TOTAL","25,068","48.89%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","51,273","100.00%"
