"ACTIVE OFFENDER POPULATION","",""
"BY TYPE","",""
"","NO. OF","% OF TOTAL"
"","OFFENDERS","OFFENDERS"
"INMATES","",""
"Custody Population (Inmate and RID status)","18,563","28.08%"
"Community Corrections (ERS, ISP, Medical Release)","2,141","3.24%"
"Other Custody","536",".81%"
"At Large (Escapees & Walk-Aways)","27",".04%"
"Off-Grounds Medical (Hospital)","7",".01%"
"INMATE TOTAL","21,274","32.18%"
"PAROLEES","9,344","14.13%"
"TVC Parole","350","0.53%"
"PROBATIONERS","34,981","52.91%"
"TVC Probation","164","0.25%"
"PAROLEE AND PROBATIONER TOTAL","44,839","67.82%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","66,113","100.00%"
