"INMATES","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population","18,560","48.46%",""
"Community Corrections (ERS, ISP, Medical Release)","2,152","5.62%",""
"Other Custody","207","0.54%",""
"At Large (Escapees & Walk-Aways)","77","0.20%",""
"University of MS Medical Center","4","0.01%",""
"","21,000","54.84%","Inmate Total"
"PAROLEES","1,608","4.20%",""
"PROBATIONERS","15,688","40.97%",""
"","17,296","45.16%","Parolees & Probationers Total"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","38,296","100.00%",""
