"INMATE STATISTICS (continued)","","","","","","","","","","","","","","","","",""
"","","% OF","","","","","","","% OF","","","","","","","","% OF"
"","","TOTAL MALE","","","","","","","TOTAL FEMALE","","","","NO. OF","","","","TOTAL"
"RACE
MALE","","POPULATION","","","","FEMALE","","","POPULATION","","","","OFFENDERS","","","","OFFENDERS"
"Black
15,119","","68.14%","","","","1,012","","","45.59%","","","","16,131","","","","66.09%"
"White
6,786","","30.58%","","","","1,182","","","53.24%","","","","7,968","","","","32.64%"
"Hispanic
206","",".93%","","","","18","","",".81%","","","","224","","","",".92%"
"Native American
29","",".13%","","","","","","",".27%","","","","35","","","",".14%"
"Asian
31","",".14%","","","","6 1","","",".05%","","","","32","","","",".13%"
"Data Unavailable
18","",".08%","","","","1","","",".05%","","","","19","","","",".08%"
"TOTAL
22,189","","100.00%","","","","2,220","","","100.00%","","","","24,409","","","","100.00%"
"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","","",""
"","","Black","","","White","","","Hispanic","","Native American","","","Asian","","","Data Unavailable","TOTAL"
"LOCATION","Male","","Female","Male","Female","","Male","Female","","Male","Female","Male","","Female","Male","Female",""
"MSP","2,530","","1","990","0","","19","0","","2","0","3","","0","1","0","3,546"
"CMCF","1,327","","569","696","593","","20","10","","1","4","3","","0","0","0","3,223"
"SMCI","2,039","","0","1,048","0","","42","0","","7","0","5","","0","0","0","3,141"
"County Jails (approved)","563","","42","338","64","","6","0","","0","0","0","","0","7","1","1,021"
"County Jails (unapproved)","112","","8","78","7","","1","0","","0","0","0","","0","2","0","208"
"Private Prisons","3,961","","0","1,301","0","","31","0","","5","0","3","","0","1","0","5,302"
"Regional Correctional Facilities","1,686","","34","745","26","","25","0","","6","0","6","","0","1","0","2,529"
"Community Work Centers","917","","75","426","154","","5","4","","2","1","1","","1","0","0","1,586"
"Community Trusties","11","","0","3","0","","0","0","","0","0","0","","0","0","0","14"
"Pending File Review","76","","11","34","16","","2","0","","0","0","1","","0","0","0","140"
"Court Order","151","","16","87","10","","1","0","","0","0","0","","0","0","0","265"
"","13,373","","756","5,746","870","","152","14","","23","5","22","","1","12","1","20,975"
"Intensive Supervison Program","615","","160","511","234","","9","0","","3","0","3","","0","2","0","1,537"
"Earned Release Supervision","923","","76","378","58","","5","1","","2","0","2","","0","0","0","1,445"
"Medical Release","22","","8","11","2","","0","0","","0","0","0","","0","0","0","43"
"Other Custody","158","","10","122","16","","37","3","","1","1","3","","0","4","0","355"
"At Large","24","","0","13","2","","3","0","","0","0","0","","0","0","0","42"
"Off-Grounds Medical (Hospital)","4","","2","5","0","","0","0","","0","0","1","","0","0","0","12"
"TOTAL","15,119","","1,012","6,786","1,182","","206","18","","29","6","31","","1","18","1","24,409"
"% OF TOTAL OFFENDERS","61.94%","","4.15%","27.80%","4.84%","",".84%",".07%","",".12%",".02%",".13%","",".00%",".07%",".00%","100.00%"
