"ACTIVE OFFENDER POPULATION","",""
"BY TYPE","",""
"","NO. OF","% OF TOTAL"
"","OFFENDERS","OFFENDERS"
"INMATES","",""
"Custody Population","22,303","43.58%"
"Community Corrections (ERS, ISP, Medical Release)","2,956","5.78%"
"Other Custody","323","0.63%"
"At Large (Escapees & Walk-Aways)","72","0.14%"
"Off-Grounds Medical (Hospital)","9","0.02%"
"INMATE TOTAL","25,663","50.14%"
"PAROLEES","2,553","4.99%"
"PROBATIONERS","22,965","44.87%"
"PAROLEE AND PROBATIONER TOTAL","25,518","49.86%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","51,181","100.00%"
