"INMATE STATISTICS (continued)","","","","","","","","","","","","","","","","",""
"","","% OF","","","","","","","% OF","","","","","","","","% OF"
"","","TOTAL MALE","","","","","","","TOTAL FEMALE","","","","NO. OF","","","","TOTAL"
"RACE
MALE","","POPULATION","","","","FEMALE","","","POPULATION","","","","OFFENDERS","","","","OFFENDERS"
"Black
13,038","","65.88%","","","","695","","","40.17%","","","","13,733","","","","63.81%"
"White
6,474","","32.71%","","","","1,006","","","58.15%","","","","7,480","","","","34.76%"
"Hispanic
190","",".96%","","","","22","","","1.27%","","","","212","","","",".99%"
"Native American
32","",".16%","","","","5","","",".29%","","","","37","","","",".17%"
"Asian
49","",".25%","","","","1","","",".06%","","","","50","","","",".23%"
"Data Unavailable
8","",".04%","","","","1","","",".06%","","","","9","","","",".04%"
"TOTAL
19,791","","100.00%","","","","1,730","","","100.00%","","","","21,521","","","","100.00%"
"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","","",""
"","","Black","","White","","","","Hispanic","","Native American","","","Asian","","","Data Unavailable","TOTAL"
"LOCATION","Male","","Female","Male","Female","","Male","Female","","Male","Female","Male","","Female","Male","Female",""
"MSP","2,287","","0","1,077","0","","15","0","","4","0","6","","0","0","0","3,389"
"CMCF","1,356","","350","803","501","","26","11","","7","3","5","","1","1","1","3,065"
"SMCI","1,949","","0","1,009","0","","25","0","","1","0","6","","0","0","0","2,990"
"County Jails (approved)","511","","9","365","35","","5","0","","2","0","2","","0","1","0","930"
"County Jails (unapproved)","210","","14","124","24","","1","0","","1","0","0","","0","2","0","376"
"Youthful Offender Facility","32","","0","0","0","","1","0","","0","0","0","","0","0","0","33"
"Private Prisons","2,788","","0","1,030","0","","37","0","","10","0","5","","0","0","0","3,870"
"Regional Correctional Facilities","2,190","","102","1,045","117","","28","4","","3","0","12","","0","0","0","3,501"
"Community Work Centers","484","","43","265","126","","1","2","","2","0","3","","0","1","0","927"
"Community Trusties","32","","0","14","0","","0","0","","0","0","1","","0","0","0","47"
"Pending File Review","49","","6","37","9","","0","0","","0","0","1","","0","0","0","102"
"Conditional Release","0","","0","1","1","","0","0","","0","0","0","","0","0","0","2"
"County Jail","0","","0","1","0","","0","0","","0","0","0","","0","0","0","1"
"Court Order","138","","6","101","19","","0","0","","0","0","0","","0","0","0","264"
"","12,026","","530","5,872","832","","139","17","","30","3","41","","1","5","1","19,497"
"Intensive Supervison Program","284","","92","231","107","","2","2","","1","1","4","","0","0","0","724"
"Earned Release Supervision","471","","59","150","37","","4","0","","0","0","1","","0","0","0","722"
"Medical Release","8","","0","4","2","","0","0","","0","0","0","","0","0","0","14"
"Other Custody","229","","13","209","25","","42","3","","1","1","3","","0","3","0","529"
"Transitional Housing","1","","0","0","0","","0","0","","0","0","0","","0","0","0","1"
"At Large","15","","0","6","2","","3","0","","0","0","0","","0","0","0","26"
"TVC","0","","1","0","0","","0","0","","0","0","0","","0","0","0","1"
"Off-Grounds Medical (Hospital)","4","","0","2","1","","0","0","","0","0","0","","0","0","0","7"
"TOTAL","13,038","","695","6,474","1,006","","190","22","","32","5","49","","1","8","1","21,521"
"% OF TOTAL OFFENDERS","60.58%","","3.23%","30.08%","4.67%","",".88%",".10%","",".15%",".02%",".23%","",".00%",".04%",".00%","100.00%"
