"ACTIVE OFFENDER POPULATION","",""
"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population","22,987","43.75%"
"Community Corrections (ERS, ISP, Medical Release)","3,115","5.93%"
"Other Custody","321","0.61%"
"At Large (Escapees & Walk-Aways)","58","0.11%"
"Off-Grounds Medical (Hospital)","3","0.01%"
"INMATE TOTAL","26,484","50.41%"
"PAROLEES","3,005","5.72%"
"PROBATIONERS","23,052","43.87%"
"PAROLEE AND PROBATIONER TOTAL","26,057","49.59%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","52,541","100.00%"
