"BY LOCATION","","","",""
"","","NO. OF","% OF TOTAL",""
"","CAPACITY","OFFENDERS","OFFENDERS",""
"Mississippi State Penitentiary","5,711","5,593","40.23%",""
"Central Mississippi Correctional Facility","3,233","3,034","21.82%",""
"South Mississippi Correctional Institution","2,214","2,158","15.52%",""
"County Jails - Approved*","2,133","1,738","12.50%",""
"County Jails - Unapproved**","0","88","0.63%",""
"Community Work Centers","1350","1,293","9.30%",""
"","14,641","13,904","100.00%","State, County Jails, & CWC Facilities"
"Regional Correctional Facilities","","","",""
"Bolivar County Correctional Facility","250","226","9.10%",""
"Carroll County Correctional Facility","250","227","9.14%",""
"GeorgeCounty Correctional Facility","250","225","9.06%",""
"Holmes County Correctional Facility","250","229","9.22%",""
"Issaquena County Correctional Facility","250","227","9.14%",""
"Jefferson County Correctional Facility","250","223","8.98%",""
"Kemper County Correctional Facility","250","222","8.94%",""
"Leake Correctional Facility","250","227","9.14%",""
"Marion County Correctional Facility","250","227","9.14%",""
"Stone County Correctional Facility","250","226","9.10%",""
"Winston County Correctional Facility","250","225","9.06%",""
"","2,750","2,484","100.00%","Regional Facilities"
"Private Prisons","","","",""
"East MS Correctional Facility","1,000","690","20.29%",""
"Marshall County Correctional Facility","1,000","984","28.93%",""
"Walnut Grove Correctional Facility","750","738","21.70%",""
"Wilkinson County Correctional Facility","1,000","989","29.08%",""
"","3,750","3,401","100.00%","Private Prisons"
"Community Trusties","30","19","0.08%",""
"Emergency Suspension","","12","0.05%",""
"Court Order","","325","1.41%",""
"TOTAL CAPACITY & CUSTODY POPULATION","21,171","20,145","87.28%",""
"Intensive Supervision Program","","1,511","6.55%",""
"Earned Release Supervision Program","","1,094","4.74%",""
"Medical Release","0 0 0 0 0","0","0.00%",""
"","","2,605","11.29%","Community Corrections"
"Other Custody","","171","0.74%",""
"University of MS Medical Center","0","12","0.05%",""
"At Large (Escapees & Walk-Aways)","0","148","0.64%",""
"TOTAL","21,171","23,081","100.00%","00"
