"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS",""
"Mississippi State Penitentiary","5,551","5,302","41.08%",""
"Central Mississippi Correctional Facility","3,049","2,934","22.73%",""
"South Mississippi Correctional Institution","2,214","2,043","15.83%",""
"County Jails - Approved*","2,137","1,314","10.18%",""
"County Jails - Unapproved**","0","36","0.28%",""
"Community Work Centers","1328","1,279","9.91%",""
"","14,279","12,908","100.00%","State, County Jails, & CWC Facilities"
"Regional Correctional Facilities","","","",""
"Bolivar County Correctional Facility","250","1","0.05%",""
"Carroll County Correctional Facility","250","227","11.35%",""
"Holmes County Correctional Facility","250","219","10.95%",""
"Issaquena County Correctional Facility","250","209","10.45%",""
"Jefferson County Correctional Facility","250","231","11.55%",""
"Kemper County Correctional Facility","250","239","11.95%",""
"Leake Correctional Facility","250","216","10.80%",""
"Marion County Correctional Facility","250","221","11.05%",""
"Stone County Correctional Facility","250","218","10.90%",""
"Winston County Correctional Facility","250","219","10.95%",""
"","2,500","2,000","100.00%","Regional Facilities"
"Private Prisons","","","",""
"Delta Correctional Facility","1,000","863","24.05%",""
"East MS Correctional Facility","500","501","13.96%",""
"Marshall County Correctional Facility","1,000","889","24.78%",""
"Walnut Grove Correctional Facility","500","456","12.71%",""
"Wilkinson County Correctional Facility","900","879","24.50%",""
"","3,900","3,588","100.00%","Private Prisons"
"Community Trusties","30","23","0.11%",""
"Emergency Suspension","","9","0.04%",""
"Court Order","","238","1.11%",""
"TOTAL CAPACITY & CUSTODY POPULATION","20,709","18,766","87.71%",""
"Intensive Supervision Program","","1,353","6.32%",""
"Earned Release Supervision Program","","991","4.63%",""
"Medical Release","0 0 0 0 0","0","0.00%",""
"","","2,344","10.96%","Community Corrections"
"Other Custody","","202","0.94%",""
"University of MS Medical Center","0","6","0.03%",""
"At Large (Escapees & Walk-Aways)","0","78","0.36%",""
"TOTAL","20,709","21,396","100.00%","00"
