"ACTIVE OFFENDER POPULATION","",""
"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population","21,299","39.00%"
"Community Corrections (ERS, ISP, Medical Release)","2,824","5.17%"
"Other Custody","349","0.64%"
"At Large (Escapees & Walk-Aways)","43","0.08%"
"Off-Grounds Medical (Hospital)","17","0.03%"
"INMATE TOTAL","24,532","44.92%"
"PAROLEES","5,720","10.47%"
"PROBATIONERS","24,362","44.61%"
"PAROLEE AND PROBATIONER TOTAL","30,082","55.08%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","54,614","100.00%"
