"INMATE STATISTICS","","",""
"BY LOCATION","","",""
"","","NO. OF","% OF TOTAL"
"","CAPACITY","OFFENDERS","OFFENDERS"
"Mississippi State Penitentiary","4,435","3,908","30.67%"
"Central Mississippi Correctional Facility","3,665","3,121","24.49%"
"South Mississippi Correctional Institution","3,204","2,918","22.90%"
"County Jails - Approved*","1,486","971","7.62%"
"County Jails - Unapproved**","0","239","1.88%"
"Community Work Centers","1,848","1,586","12.45%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14,638","12,743","100.00%"
"Regional Correctional Facilities","","",""
"Bolivar County Correctional Facility","294","279","9.55%"
"Carroll County Correctional Facility","280","263","9.00%"
"George County Correctional Facility","280","267","9.14%"
"Holmes County Correctional Facility","280","265","9.07%"
"Issaquena County Correctional Facility","274","261","8.94%"
"Jefferson County Correctional Facility","280","260","8.90%"
"Kemper County Correctional Facility","355","265","9.07%"
"Leake County Correctional Facility","280","265","9.07%"
"Marion County Correctional Facility","280","265","9.07%"
"Stone County Correctional Facility","280","266","9.11%"
"Winston County Correctional Facility","280","265","9.07%"
"TOTAL REGIONAL FACILITIES","3,163","2,921","100.00%"
"Private Prisons","","",""
"Delta Correctional Facility","972","955","17.26%"
"East MS Correctional Facility","1,500","1,361","24.59%"
"Marshall County Correctional Facility","1,000","980","17.71%"
"Walnut Grove Correctional Facility","1,500","1,265","22.86%"
"Wilkinson County Correctional Facility","1,000","973","17.58%"
"TOTAL PRIVATE PRISONS","5,972","5,534","100.00%"
"Community Trusties","02
2","17","0.07%"
"Emergency Suspension","","0","0.00%"
"Pending File Review","0","87","0.35%"
"Court Order","0","258","1.04%"
"TOTAL CAPACITY & CUSTODY POPULATION","23,795","21,560","86.99%"
"Intensive Supervision Program","0","1,296","5.23%"
"Earned Release Supervision Program","00","1,483","5.98%"
"Medical Release","","35","0.14%"
"TOTAL COMMUNITY CORRECTIONS","00","2,814","11.35%"
"Other Custody","","353","1.42%"
"Off-Grounds Medical (Hospital)","0","9","0.04%"
"At Large (Escapees & Walk-Aways)","0","48","0.19%"
"TOTAL","23,795","24,784","100.00%"
