"","Fact Sheet","",""
"","","As of July 1 , 2020",""
"INMATE STATISTICS (continued)","","",""
"Community Trusties","0","0",".00%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","107",".55%"
"TVC","0","140",".72%"
"Transitional Housing","0","7",".04%"
"Court Order","0","164",".84%"
"RRP","0","46",".24%"
"TOTAL CAPACITY & CUSTODY POPULATION","24,400","17,547","90.15%"
"Intensive Supervision Program","0","844","4.34%"
"Conditional Release","0","3","0.02%"
"Earned Release Supervision Program","0","543","2.79%"
"Failure to Register-Monitoring","0","6","0.03%"
"Medical Release","0","19","0.10%"
"TOTAL COMMUNITY CORRECTIONS","0","1,415","7.27%"
"Other Custody","0","470","2.41%"
"Off-Grounds Medical (Hospital)","0","9","0.05%"
"At Large (Escapees & Walk-Aways)","0","24","0.12%"
"TOTAL","24,400","19,465","100.00%"
