"ACTIVE OFFENDER POPULATION","",""
"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population","21,313","38.94%"
"Community Corrections (ERS, ISP, Medical Release)","2,929","5.35%"
"Other Custody","350","0.64%"
"At Large (Escapees & Walk-Aways)","44","0.08%"
"Off-Grounds Medical (Hospital)","9","0.02%"
"INMATE TOTAL","24,645","45.03%"
"PAROLEES","5,663","10.35%"
"PROBATIONERS","24,419","44.62%"
"PAROLEE AND PROBATIONER TOTAL","30,082","54.97%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","54,727","100.00%"
