"BY TYPE","","",""
"","NO. OF","% OF TOTAL",""
"","OFFENDERS","OFFENDERS",""
"INMATES","","",""
"Custody Population","21,226","46.86%",""
"Community Corrections (ERS, ISP, Medical Release)","2,598","5.74%",""
"Other Custody","228","0.50%",""
"At Large (Escapees & Walk-Aways)","44","0.10%",""
"University of MS Medical Center","0","0.00%",""
"","24,096","53.20%","Inmate Total"
"PAROLEES","1,935","4.27%",""
"PROBATIONERS","19,262","42.53%",""
"","21,197","46.80%","Parolees & Probationers Total"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","45,293","100.00%",""
