"ACTIVE OFFENDER POPULATION","",""
"BY TYPE","",""
"","NO. OF","% OF TOTAL"
"","OFFENDERS","OFFENDERS"
"INMATES","",""
"Custody Population","21,054","35.92%"
"Community Corrections (ERS, ISP, Medical Release)","3,127","5.33%"
"Other Custody","380",".65%"
"At Large (Escapees & Walk-Aways)","39",".07%"
"Off-Grounds Medical (Hospital)","13",".02%"
"INMATE TOTAL","24,613","41.99%"
"PAROLEES","6,664","11.37%"
"PROBATIONERS","27,340","46.64%"
"PAROLEE AND PROBATIONER TOTAL","34,004","58.01%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","58,617","100.00%"
